DDI ID,Description,brand,Model,S/N,Floor,Side,Department,REMARKS,,supplied company,Eng./contact,LPO/invoice,Sub Category(BIO),Original Value (PR),Accumulated Depreciation,Salvage Value,Item Age,install date,Usage Status,Full Loss
BE00001,OCT,3D+AC0-OCT+AC0-2000,3D+AC0-OCT+AC0-2000,678008,1STFLOOR,A,Ophthalmology Clinic,,,Central Circle,,,,,,,,2009,USE,
BE00002,FundusCamera,Topcon/TRC+AC0-NW200,Topcon/TRC+AC0-NW200,225269,1STFLOOR,B,Ophthalmology Clinic,,,Central Circle,,,,,,,,2006,USE,
BE00003,Biotek Reader,ELX808,ELX808,252996,4,B,IICTU,,,Tectron,Suhas/94065674,,,,,,,2010,USE,
BE00004,Elispot AID reader,ELRIFL061007105,ELRIFL061007105,61007015,4,B,IICTU,shited to store 17/9/2024,,,,,,,,,,2010,USE,
BE00005,Robosep,2000,2000,1300,4,B,IICTU store,shited to store 17/9/2024,,Tectron,,,,+ACI- 23,465 +ACI-,,,,2012,USE,
BE00006,TopCount NXT,TopCount NXT,TopCount NXT,81091,4,B,IICTU,scrapped 30/5/23,,,,,,,,,,2010,USE,
BE00007,Hotplate/Stirrer,Cimarec,Cimarec,C1768100604548,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00008,Vortex Mixer,STD MINI,STD MINI,120201002,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00009,Ohaus Balance,PA214L,PA214L,B424697044,4,B,IICTU,,,,,,,,,,,2009,USE,
BE00010,Branson Sonic,Cpx2800H+AC0-E,Cpx2800H+AC0-E,BHU021480950,4,B,IICTU,,,,,,,,,,,2009,USE,
BE00011,pH Meter,Seven+AC0-Multi,Seven+AC0-Multi,1231325435,4,B,IICTU,,,Tectron,,,,,,,,2010,USE,
BE00012,KERN  ,EWB,EWB,101770228,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00013,KERN  (Thm.Sci),ABS ,ABS ,WB1010151,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00014,Watetbath,Nuve,NB5920,02+AC0-1805,4,B,IICTU,,,Tectron,,,,,,,,2010,USE,
BE00015,Washer,ELx405,ELx405,ELx405RS/253391,4,B,IICTU,Scrapped,,,,,,,,,,2010,USE,
BE00016,Multidrop 384 quick dispenser,384 Multidrop,384 Multidrop,832005+AC0-199,4,B,IICTU,,,TriAlpha,,,,,,,,2010,USE,
BE00017,Vortex,ABV+AC0-1,ABV+AC0-1,2010110209,4,B,IICTU,,,Tectron,,,,,,,,2011,USE,
BE00018,Thermomixer Eppendorf,5355 eppendorf AG,5355 eppendorf AG,5355ZJ946685,3,B/TBCF,BIO BANK,found in IICTU 2023,,central Circle,Donovan/99384471,,,,,,,2010,USE,
BE00019,Benchmark mixer,MINIMIXER,MINIMIXER,13110333,4,B,IICTU,,,Tectron,,,,,,,,2009,USE,
BE00020,Microcentrifuge,SD,SD,0 58444,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00021,Mini Centrifuge,C +AC0-1008+AC0-C,C +AC0-1008+AC0-C,12966,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00022,Plate Washer,Versa washer,Versa washer,888+AC0-359B,4,B,IICTU,,,Tectron,,,,+ACI- 3,323 +ACI-,,,,2013,USE,
BE00023,Specord Spectrophotometer,Specord 210 Plus,Specord 210 Plus,223F1250,3,B,BIO BANK,scrapped 30/5/23,,Tectron,,,,,,,,2010,USE,
BE00024,Filtermat,Cell Harvet,Cell Harvet,DG09106842,4,B,IICTU store,Scrapped,,,,,,,,,,2010,USE,
BE00025,Eppendorf,5415r,5415r,5426Z1932755,4,B,IICTU,,,central circle,Donovan/99384471,,,,,,,2010,USE,
BE00026,Mini Centrifuge,C+AC0-1008+AC0-C,C+AC0-1008+AC0-C,12967,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00027,Heidolph Titramax 101 ,101 Tetramax,101 Tetramax,71001915,4,B,IICTU,,,Central circle,,,,+ACI- 4,586 +ACI-,,,,2012,USE,
BE00028,Heraeus Fresco 17 microcentrifuge,Fresco17,Fresco17,41129210,4,B,IICTU,,,TSST,,,,,,,,2010,USE,
BE00029,Sorval centrifuge,Thermo,STR40,41140610,4,B,IICTU,,,TSST,Abraham/96964491,,,,,,,2011,USE,
